区域,名称,景点id,类型,级别,热度,经纬度
山东·济宁·曲阜,孔子六艺城,2021366089,文化古迹,4A景区,热度 0.,"117.002815,35.586768"
河南·洛阳·宜阳县,洛阳灵山寺,3860365687,文化古迹,,热度 0.,"112.110552,34.512724"
北京·北京·密云县,冶仙塔,429217955,文化古迹,,热度 0.,"116.877047,40.400083"
新疆·伊犁·霍城县,伊犁将军府遗址,2993904365,文化古迹,,热度 0.,"80.918785,43.999318"
广东·广州·黄埔区,南海神庙,13743753,文化古迹,4A景区,热度 0.,"113.502893,23.086193"
湖南·湘潭·韶山市,毛泽东同志故居,1487859441,文化古迹,4A景区,热度 0.,"112.49848,27.910957"
四川·自贡·大安区,燊海井,3220204883,文化古迹,,热度 0.,"104.79442,29.379987"
浙江·杭州·建德市,建德七里扬帆景区,1444729545,文化古迹,4A景区,热度 0.,"119.550788,29.553448"
广东·潮州·湘桥区,潮州古城,4108905429,文化古迹,,热度 0.,"116.658611,23.667442"
广西·北海·海城区,百年老街,2333910463,文化古迹,,热度 0.,"109.119381,21.488503"
浙江·绍兴,大香林•兜率天景区,294444737,文化古迹,4A景区,热度 0.,"120.424237,30.026193"
辽宁·葫芦岛·连山区,辽宁灵山风景名胜区,4166588781,文化古迹,4A景区,热度 0.,"120.524718,40.965285"
河北·石家庄·石家庄抱犊寨,抱犊寨长城,2751365181,文化古迹,,热度 0.,"114.292284,38.090659"
河北·石家庄·石家庄抱犊寨,抱犊寨长城,2751365181,文化古迹,,热度 0.,"114.292284,38.090659"
四川·自贡·荣县,荣县大佛,1756852375,文化古迹,4A景区,热度 0.,"104.437751,29.460407"
福建·龙岩·高北土楼群（永定土楼）,侨福楼,2168700763,文化古迹,,热度 0.,"117.014875,24.666914"
清莱府·清莱,白庙,2781428220,文化古迹,3A景区,热度 0.,"99.763048,19.824546"
北京·北京·房山区,圣莲山,3809417048,文化古迹,4A景区,热度 0.,"115.735581,39.84928"
四川·广安·广安区,神龙山巴人石头城,2601011006,文化古迹,,热度 0.,"106.64597,30.450783"
河南·郑州·巩义市,石窟寺,2461962714,文化古迹,3A景区,热度 0.,"113.036537,34.817893"
天津·天津·滨海新区,北塘渔村,2690615890,文化古迹,3A景区,热度 0.,"117.668986,39.039523"
江西·抚州·乐安县,流坑古村,1320879516,文化古迹,,热度 0.,"115.780144,27.270984"
辽宁·朝阳·朝阳县,朝阳槐树洞,520543936,文化古迹,,热度 0.,"120.37069493564,41.384754957498"
山东·潍坊·青州市,青州泰和旅游区,3686550549,文化古迹,4A景区,热度 0.,"118.270875,36.549218"
甘肃·天水·秦州区,玉泉观,3596498760,文化古迹,4A景区,热度 0.,"105.718795,34.591546"
浙江·湖州·长兴县,陈武帝,1639931448,文化古迹,,热度 0.,"119.943815,31.01176"
河南·安阳·内黄县,二帝陵,1862123958,文化古迹,3A景区,热度 0.,"114.766192,35.738593"
辽宁·丹东·东港市,大孤山,50124010,文化古迹,3A景区,热度 0.,"123.610272,39.917395"
重庆·重庆·大足石刻,北山景区,2866578160,文化古迹,,热度 0.,"105.716678,29.718935"
浙江·金华·磐安县,舞龙峡,299734253,文化古迹,,热度 0.,"120.740257,29.218345"
河南·平顶山·鲁山县,尧山墨子古街,2762417757,文化古迹,,热度 0.,"112.371228,33.771054"
陕西·西安·碑林区,西安钟楼,4231428640,文化古迹,,热度 0.,"108.95344,34.265657"
湖南·长沙·宁乡县,刘少奇故里门楼,379956014,文化古迹,,热度 0.,"112.651361,28.037537"
北京·北京·东城区,地坛公园,3629472821,文化古迹,,热度 0.,"116.42197,39.960464"
江西·南昌·安义县,安义古村群,2250327153,文化古迹,3A景区,热度 0.,"115.60757,28.753164"
甘肃·平凉·庄浪县,云崖寺,4036525502,文化古迹,4A景区,热度 0.,"106.250892,35.205855"
清迈府·清迈,素贴山双龙寺,1987972302,文化古迹,,热度 0.,"98.8894729,18.8106582"
东京·富士山,忍野八海,515558260,文化古迹,,热度 0.,"138.83286,35.460136"
江苏·南京·钟山风景区,灵谷寺,144744579,文化古迹,,热度 0.,"118.870637,32.048892"
天津·天津·和平区,瓷房子,2971839392,文化古迹,3A景区,热度 0.,"117.202575,39.124825"
四川·乐山·峨眉山市,峨眉山大佛禅院,1016908202,文化古迹,4A景区,热度 0.,"103.50527,29.595534"
大城府·大城,邦芭茵夏宫,1437302074,文化古迹,,热度 0.,"100.578606,14.236099"
安徽·黄山·黟县,陶渊明故居·守拙园景区,1810128269,文化古迹,,热度 0.,"117.892043,29.898165"
福建·漳州·南靖县,怀远楼,60357241,文化古迹,3A景区,热度 1.,"117.100916,24.677671"
河南·商丘·睢阳区,商丘古城,370741864,文化古迹,4A景区,热度 0.,"115.613772,34.379798"
广西·河池·宜州市,宜州刘三姐故里旅游区,3205809219,文化古迹,4A景区,热度 0.,"108.645991,24.507116"
江西·上饶·婺源县,理坑村,699199870,文化古迹,,热度 0.,"117.83572,29.53169"
河南·开封·开封县,开封城墙,2856235361,文化古迹,,热度 0.,"114.345946,34.7902"
云南·红河·建水县,建水小火车,1006254502,文化古迹,,热度 0.,"102.816752,23.626308"
四川·成都·青羊区,宽窄巷子,2803809216,文化古迹,,热度 0.,"104.062325,30.669367"
北京·北京·门头沟区,戒台寺,119376172,文化古迹,4A景区,热度 0.,"116.093809,39.875622"
山西·晋城·阳城县,天官王府,1731550195,文化古迹,,热度 0.,"112.565943,35.524388"
河北·邯郸·永年县,广府古城,4251179987,文化古迹,5A景区,热度 0.,"114.732236,36.703348"
浙江·衢州·浮盖山,浮盖山峡谷漂流,2587873769,文化古迹,,热度 0.,"118.486595,28.305741"
江西·上饶·婺源,江湾,37368675,文化古迹,5A景区,热度 0.,"118.058037,29.373708"
江西·南昌·湾里区,洪崖丹井,3019727347,文化古迹,,热度 0.,"115.736938,28.731557"
河南·许昌·许昌县,灞陵桥,1795678379,文化古迹,3A景区,热度 1.,"113.792456,34.028694"
福建·厦门·集美学村,陈嘉庚纪念胜地景区,565852139,文化古迹,,热度 0.,"118.111929,24.571534"
四川·乐山·沐川,沐川竹海,3495519827,文化古迹,,热度 0.,"103.958151,28.861803"
重庆·重庆·云阳县,张飞庙,4099106744,文化古迹,4A景区,热度 0.,"108.711586,30.916548"
新疆·喀什·塔什库尔干县,喀什石头城,3748668997,文化古迹,,热度 0.,"75.225791,38.062442"
河南·郑州·登封市,三皇寨,2924403949,文化古迹,,热度 0.,"112.934053,34.470438"
天津·天津·蓟县,天津白蛇谷原生态景区,705404710,文化古迹,,热度 0.,"117.446735,40.253585"
陕西·西安·碑林区,西安大唐西市博物馆,3065870273,文化古迹,,热度 0.,"108.914111,34.252909"
河北·张家口·涿鹿县,黄帝城,4149668055,文化古迹,4A景区,热度 0.,"115.422161,40.227185"
浙江·杭州·富春江小三峡,严子陵钓台,1890746176,文化古迹,4A景区,热度 0.,"119.665525,29.703242"
辽宁·丹东·振安区,五龙山,3983046128,文化古迹,4A景区,热度 0.,"124.34106,40.259306"
上海·上海·金山区,东林寺,399318672,文化古迹,4A景区,热度 0.,"121.172349,30.900096"
上海·上海·黄浦区,城隍庙旅游区,2395325458,文化古迹,,热度 0.,"121.499109,31.231135"
新疆·吐鲁番·吐鲁番市,柏孜克里克千佛洞,2822988932,文化古迹,,热度 0.,"89.547754,42.963367"
安徽·六安·金安区,东石笋风景区,1219335567,文化古迹,4A景区,热度 0.,"116.579275,31.311862"
山西·临汾·霍州市,霍州署,1554573064,文化古迹,,热度 0.,"111.735163,36.57651"
河南·洛阳·洛龙区,定鼎门遗址博物馆,2622253780,文化古迹,,热度 0.,"112.473474,34.636616"
福建·南平·武夷山,大红袍景区,1151273797,文化古迹,,热度 0.,"117.972654,27.673729"
河北·邢台·内丘县,扁鹊庙,194821354,文化古迹,4A景区,热度 0.,"114.278864,37.315742"
浙江·温州·乐清市,浙南猛洞河漂流,2164447300,文化古迹,,热度 0.,"121.071252,28.423227"
河南·洛阳·洛龙区,关林,3804939514,文化古迹,4A景区,热度 0.,"112.490039,34.613008"
山东·济宁·微山县,微子文化苑,2677811382,文化古迹,,热度 0.,"117.251908,34.664421"
浙江·绍兴·越城区,书圣故里,394273599,文化古迹,,热度 0.,"120.594286,30.014154"
浙江·宁波·雪窦山,雪窦寺大佛景区,1374313555,文化古迹,,热度 0.,"121.290544,29.688006"
湖北·随州·曾都区,随州炎帝故里风景区,1155067647,文化古迹,4A景区,热度 0.,"113.306025,31.849259"
北京·北京·房山区,周口店北京猿人遗址,3179233376,文化古迹,4A景区,热度 0.,"115.935105,39.696637"
山西·晋城·阳城县,郭峪村,3981437227,文化古迹,,热度 0.,"112.58532912698,35.51637351358"
浙江·杭州·建德市,新叶古村,3118529961,文化古迹,,热度 0.,"119.34046,29.334633"
上海·上海·闵行区,召稼楼,2803581436,文化古迹,4A景区,热度 0.,"121.555586,31.080932"
武里府·芭堤雅,芭堤雅小人国,996495367,文化古迹,,热度 0.,"100.90966,12.954438"
江苏·苏州·吴中区,紫金庵,4174919313,文化古迹,,热度 0.,"120.392353,31.065428"
福建·龙岩·永定县,客都温泉,2765369546,文化古迹,,热度 0.,"116.832653,24.599153"
福建·龙岩·永定县,客都温泉,2765369546,文化古迹,,热度 0.,"116.832653,24.599153"
浙江·台州·台州天台山,天台山赤城山,3439675793,文化古迹,4A景区,热度 0.,"121.03294,29.172423"
河南·三门峡·灵宝市,函谷关,2800327575,文化古迹,4A景区,热度 1.,"110.932861,34.640351"
河南·信阳·商城县,金刚台（西河）生态旅游区,843811285,文化古迹,,热度 0.,"115.592134,31.794773"
江苏·徐州,蟠桃山佛教文化景区,3016059144,文化古迹,4A景区,热度 0.,"117.275513,34.301023"
贵州·遵义·绥阳县,十二背后∙贵州清溪峡景区,1464617645,文化古迹,,热度 0.,"107.085415,28.29726"
河北·沧州·河间市,沧州河间府署,1512207039,文化古迹,,热度 0.,"116.099646,38.441998"
湖南·湘西·凤凰县,南方长城,1126656221,文化古迹,3A景区,热度 0.,"109.477836,27.934076"
河南·郑州·嵩阳景区,嵩阳书院,3464539590,文化古迹,4A景区,热度 0.,"113.040152,34.485943"
巴黎,埃菲尔铁塔,2961246236,文化古迹,,热度 1.,"2.294351,48.858844"
安徽·黄山·歙县,徽商大宅院,1621966946,文化古迹,,热度 0.,"118.434737,29.876402"
四川·广元·利州区,广元千佛崖,625102824,文化古迹,,热度 0.,"105.852944,32.477363"
广东·清远·英西峰林,彭家祠,2644733978,文化古迹,,热度 0.,"112.907157,24.156523"
浙江·台州·天台县,济公故居,1964871407,文化古迹,4A景区,热度 0.,"121.041757,29.150337"
浙江·杭州·千岛湖,千岛湖文渊狮城度假区（水下古城）,2033253636,文化古迹,,热度 0.,"118.680693,29.480131"
广东·惠州·龙门县,香溪堡,3529869423,文化古迹,3A景区,热度 0.,"114.111512,23.594089"
河南·焦作·武陟县,嘉应观,182618426,文化古迹,4A景区,热度 0.,"113.516203,35.043331"
河南·周口·鹿邑县,老子故里,3009390457,文化古迹,4A景区,热度 0.,"115.560445,33.8627"
辽宁·抚顺·新宾县,清永陵,897352385,文化古迹,,热度 0.,"124.809197,41.716096"
北京·北京·门头沟区,灵水村,1854655289,文化古迹,,热度 0.,"115.702706,39.978714"
罗马,古罗马竞技场,2772336440,文化古迹,,热度 0.,"12.493332,41.889956"
福建·漳州·南靖县,裕昌楼,2474373184,文化古迹,,热度 0.,"117.053418,24.597001"
河南·郑州·中岳景区,中岳庙,205602341,文化古迹,,热度 0.,"113.080675,34.461814"
云南·大理·大理古城,周城,1282199544,文化古迹,,热度 0.,"100.1803,25.698063"
辽宁·沈阳,盛京驿站,3191163748,文化古迹,,热度 0.,"123.096188,41.665426"
重庆·重庆·武隆县,天坑寨子民俗风情区,1667850172,文化古迹,,热度 0.,"107.774515,29.423749"
湖北·恩施·利川市,大水井建筑群,1516728575,文化古迹,,热度 0.,"108.911073,30.473989"
甘肃·酒泉·瓜州县,锁阳城,1815264203,文化古迹,,热度 0.,"96.210217,40.25321"
安徽·宣城·绩溪县,太极湖村,2314186601,文化古迹,4A景区,热度 0.,"118.708034,30.117549"
江苏·徐州·云龙区,狮子山西汉楚王陵,3678293492,文化古迹,,热度 0.,"117.23184,34.251418"
福建·南平·武夷山,武夷宫,3576081854,文化古迹,,热度 0.,"117.978881,27.648652"
河南·新乡·卫辉市,比干庙,2021723712,文化古迹,4A景区,热度 0.,"114.094276,35.470938"
湖南·郴州·永兴县,板梁古村,875354982,文化古迹,3A景区,热度 0.,"112.873869,26.084327"
湖南·长沙·望城区,铜官窑,1362058964,文化古迹,,热度 0.,"112.840208,28.42495"
云南·大理·大理市,大理喜洲严家民居,54603792,文化古迹,,热度 0.,"100.138778,25.857726"
甘肃·武威·凉州区,文庙,4174493228,文化古迹,4A景区,热度 1.,"102.650646,37.929819"
江苏·扬州·高邮市,盂城驿,1623438223,文化古迹,,热度 0.,"119.4445,32.776671"
山东·淄博·淄川区,蒲松龄故居,890009092,文化古迹,,热度 0.,"118.018245,36.635805"
河南·南阳·西峡县,西峡银树沟生态旅游区,3646926163,文化古迹,,热度 0.,"111.796781,33.541229"
浙江·绍兴·绍兴古城,绍兴兰亭,2160911252,文化古迹,4A景区,热度 0.,"120.507221,29.93159"
四川·凉山州·冕宁县,天下灵山,1232415246,文化古迹,4A景区,热度 0.,"102.270914,28.563893"
陕西·咸阳·兴平市,杨贵妃墓,2968793330,文化古迹,,热度 0.,"108.371346,34.321771"
安徽·黄山·徽州区,唐模古村,3526312073,文化古迹,5A景区,热度 0.,"118.336253,29.875917"
京都府·京都,平安神宫,3521903210,文化古迹,,热度 1.,"135.782748,35.015923"
浙江·宁波·象山县,檀头山岛,222259488,文化古迹,,热度 0.,"122.045826,29.206344"
湖北·黄冈·黄州区,东坡赤壁,3270358134,文化古迹,4A景区,热度 0.,"114.873446,30.458114"
广西·玉林·陆川县,谢鲁山庄,3576828997,文化古迹,4A景区,热度 0.,"110.195073,22.156401"
广东·广州·增城,增城何仙姑景区,2874158501,文化古迹,3A景区,热度 0.,"113.837882,23.38843"
河北·唐山·滦县,滦州古城,230981825,文化古迹,,热度 0.,"118.760314,39.746725"
陕西·汉中·勉县,汉中马超墓,554067026,文化古迹,,热度 0.,"106.646857,33.157997"
陕西·延安·宝塔区,杜公祠,747357178,文化古迹,,热度 0.,"109.561637,36.43723"
天津·天津·静海县,西双塘,2272823196,文化古迹,3A景区,热度 0.,"116.914844,38.879532"
云南·大理·洱海,挖色镇,3877886652,文化古迹,,热度 0.,"100.231859,25.829511"
广东·梅州·丰顺县,八乡山旅游度假区,1263061692,文化古迹,,热度 0.,"115.976081,23.769695"
四川·阿坝藏族羌族自治州·松潘县,黄龙风景区,3863969464,文化古迹,5A景区,热度 0.,"103.839798,32.75533"
江西·九江·浔阳区,锁江楼,2698180259,文化古迹,,热度 0.,"116.014422,29.742833"
安徽·亳州·谯城区,毫州华佗纪念馆,1423191751,文化古迹,,热度 0.,"115.788583,33.883194"
河南·鹤壁·浚县,大伾山景区,544974873,文化古迹,4A景区,热度 0.,"114.562151,35.666715"
马德里自治区·马德里,普拉多博物馆,2393280877,文化古迹,,热度 1.,"-3.692524,40.413812"
湖北·荆州·荆州区,荆州关帝庙,638702037,文化古迹,3A景区,热度 0.,"112.204365,30.355283"
湖南·常德·澧县,城头山遗址,3668250645,文化古迹,,热度 0.,"111.667309,29.693949"
安徽·亳州·谯城区,魏武祠,1750167126,文化古迹,3A景区,热度 0.,"115.792164,33.856419"
江苏·无锡·江阴市,军事文化遗址公园,1975983349,文化古迹,,热度 0.,"120.29453,31.938848"
云南·大理·大理古城,严家大院,3704432123,文化古迹,,热度 0.,"100.138448,25.858738"
陕西·西安·终南山古楼观,化女泉,4095695043,文化古迹,,热度 0.,"108.326034,34.065613"
甘肃·平凉·崇信县,龙泉寺,2694541327,文化古迹,4A景区,热度 0.,"106.73598,35.552961"
纽约州·纽约·自由岛,自由女神像,280316229,文化古迹,,热度 0.,"-74.044526,40.689246"
河北·石家庄·平山县,西柏坡,3766846113,文化古迹,5A景区,热度 0.,"113.948895,38.348613"
福建·漳州·华安县,大地土楼群,2210440288,文化古迹,,热度 0.,"117.690846,25.029238"
浙江·嘉兴·西塘古镇,倪宅,219924823,文化古迹,,热度 0.,"120.904343,30.950366"
江西·上饶·婺源,李坑村,2306112419,文化古迹,4A景区,热度 0.,"117.936953,29.328547"
山西·临汾·洪洞县,广胜寺,879156663,文化古迹,,热度 0.,"111.819144,36.307166"
江苏·南通·如皋市,水绘园,2765676641,文化古迹,4A景区,热度 0.,"120.574196,32.401482"
上海·上海·朱家角古镇,朱家角城隍庙,45132832,文化古迹,,热度 0.,"121.055326,31.108981"
西藏·拉萨·当雄县,羊八井镇,1757616235,文化古迹,,热度 0.,"90.54588,30.101062"
四川·成都·青羊区,青羊宫,2903140928,文化古迹,,热度 0.,"104.04744,30.666478"
浙江·金华·横店影视城,大智禅寺,357184232,文化古迹,,热度 0.,"120.318341,29.154698"
山东·济宁·金乡县,羊山风景区,2827803979,文化古迹,4A景区,热度 0.,"116.25358278415,35.17835494"
湖北·襄阳·襄城区,襄阳王府,863292937,文化古迹,,热度 0.,"112.164388,32.01983"
安徽·亳州·涡阳县,天静宫,3522074933,文化古迹,3A景区,热度 0.,"116.197626,33.550903"
山东·烟台·蓬莱市,戚继光故里,904852914,文化古迹,,热度 0.,"120.760413,37.815925"
重庆·重庆·大足县,昌州古城,1115888844,文化古迹,,热度 0.,"105.749797,29.698161"
河南·平顶山·郏县,三苏园,3878857967,文化古迹,4A景区,热度 0.,"113.105898,34.081349"
河北·唐山·乐亭县,菩提岛,431655328,文化古迹,4A景区,热度 0.,"118.837842,39.143705"
四川·广元·利州区,皇泽寺,1370264498,文化古迹,4A景区,热度 0.,"105.820878,32.445885"
山西·朔州·应县,应县木塔,3194548979,文化古迹,4A景区,热度 1.,"113.195365,39.571065"
四川·成都·新都区,宝光寺,3234197411,文化古迹,,热度 0.,"104.166618,30.837179"
奥克兰,天空塔,732955086,文化古迹,,热度 0.,"174.76227,-36.849173"
四川·绵阳·江油市,李白故里,727294132,文化古迹,,热度 1.,"104.698226,31.67459"
河北·邯郸·峰峰矿区,响堂山石窟,2261322360,文化古迹,4A景区,热度 0.,"114.167592,36.539243"
安徽·黄山·黟县,桃花源漂流,1263705670,文化古迹,,热度 0.,"117.968097,29.89328"
浙江·金华·横店圆明新园,新绮春园（秋苑）,3518096342,文化古迹,,热度 0.,"120.261251,29.112743"
甘肃·兰州·永登县,兰州猪驮山景区,3463938972,文化古迹,,热度 0.,"103.425329,36.253611"
江苏·苏州·常熟市,梅李聚沙园,2642808256,文化古迹,4A景区,热度 0.,"120.882799,31.711352"
山东·青岛·城阳区,青岛韩家民俗村,2358714331,文化古迹,,热度 0.,"120.282093,36.247025"
湖南·永州·祁阳县,浯溪碑林,2373331310,文化古迹,4A景区,热度 0.,"111.855427,26.570362"
河南·商丘·永城市,芒砀山旅游区,1073878912,文化古迹,5A景区,热度 0.,"116.494404,34.182804"
浙江·杭州·临安市,柳溪江,533381223,文化古迹,4A景区,热度 0.,"119.255146,30.126772"
安徽·滁州·凤阳县,明中都鼓楼,816189705,文化古迹,,热度 0.,"117.568873,32.868727"
山东·临沂·天上王城,天上王城地下冰宫,3835997986,文化古迹,4A景区,热度 0.,"118.37201396536,35.956308059788"
圣彼得堡,叶卡捷琳娜宫,658545790,文化古迹,,热度 0.,"30.395642,59.716272"
陕西·宝鸡·凤县,消灾寺景区,335761129,文化古迹,,热度 0.,"106.630032,33.957241"
浙江·金华·浦江县,浦江江南第一家,2226272963,文化古迹,4A景区,热度 0.,"120.015443,29.491119"
普吉岛,山顶大佛,4290461143,文化古迹,,热度 0.,"98.3106443,7.8277082"
北京·北京·西城区,纪晓岚故居,3745884045,文化古迹,,热度 0.,"116.393596,39.896121"
北京·北京·西城区,纪晓岚故居,3745884045,文化古迹,,热度 0.,"116.393596,39.896121"
贵州·黔南·荔波县,荔波樟江,1843544869,文化古迹,4A景区,热度 1.,"107.753751,25.255867"
安徽·池州·九华山,百岁宫缆车,994726448,文化古迹,,热度 0.,"117.811228,30.485116"
重庆·重庆·渝中区,重庆市人民大礼堂,208797315,文化古迹,4A景区,热度 0.,"106.559947,29.567994"
湖北·荆州·荆州区,荆州古城,3552559956,文化古迹,4A景区,热度 1.,"112.222609,30.354815"
安徽·黄山·歙县,黄山雄村景区,3115297632,文化古迹,4A景区,热度 0.,"118.450762,29.827356"
浙江·杭州·千岛湖,千岛湖宋家渔村,2252510388,文化古迹,,热度 0.,"119.045813,29.594199"
云南·丽江·古城区,丽江金塔,1027662613,文化古迹,,热度 0.,"100.270014,26.842331"
贵州·贵阳·修文县,中国阳明文化园,4212914705,文化古迹,,热度 0.,"106.614626,26.852046"
江苏·常州·天宁禅寺,天宁宝塔,1816236725,文化古迹,,热度 0.,"119.97685,31.781532"
山东·济宁,上九山古村,1052413681,文化古迹,,热度 0.,"116.883991,35.206363"
陕西·西安·莲湖区,西安鼓楼,1981518486,文化古迹,,热度 1.,"108.949903,34.266395"
河南·南阳·邓州市,花洲书院,3054368837,文化古迹,3A景区,热度 0.,"112.104296,32.678111"
广东·广州·越秀区,广州光孝寺,1922889353,文化古迹,,热度 0.,"113.262729,23.134417"
江西·九江·浔阳区,浔阳楼,518228719,文化古迹,,热度 0.,"116.008437,29.73943"
云南·红河,团山民居,875026853,文化古迹,,热度 0.,"102.746424,23.649391"
云南·楚雄·彝人古镇,彝人部落,3851115269,文化古迹,4A景区,热度 0.,"101.527298,25.063901"
湖北·咸宁·咸安区,大汉皇族村,1376255632,文化古迹,,热度 0.,"114.677789,29.661957"
河北·承德·丰宁县,承德大汗行宫,3981619816,文化古迹,4A景区,热度 0.,"115.957722,41.637289"
河南·郑州·巩义市,杜甫故里,1447682976,文化古迹,,热度 0.,"113.06871,34.801209"
浙江·绍兴·绍兴古城,范文澜故居,1774322620,文化古迹,,热度 0.,"120.546367,30.013098"
陕西·渭南·合阳洽川风景名胜区,福山风景区,2954863058,文化古迹,3A景区,热度 0.,"110.320773,35.177223"
上海·上海·金山区,金山嘴渔村,2465832481,文化古迹,,热度 0.,"121.382702,30.738369"
雅典,雅典卫城,155542667,文化古迹,,热度 1.,"23.726188,37.972182"
巴黎,凡尔赛宫,2354607430,文化古迹,,热度 1.,"2.120962,48.804546"
四川·广安·广安区,邓小平故里,2429336642,文化古迹,5A景区,热度 0.,"106.646456,30.529652"
江苏·苏州·同里古镇,退思园,4267299183,文化古迹,,热度 0.,"120.721836,31.170078"
加泰罗尼亚·巴塞罗那,奎尔公园,2475126008,文化古迹,,热度 0.,"2.15263,41.414459"
江苏·无锡·江阴市,华西村,2357651788,文化古迹,,热度 0.,"120.439903,31.839942"
陕西·宝鸡·渭滨区,炎帝陵,3983623703,文化古迹,3A景区,热度 0.,"107.120725,34.33497"
浙江·衢州·江山市,清漾村,3939109004,文化古迹,4A景区,热度 0.,"118.590463,28.576249"
上海·上海·松江区,方塔园,2539721609,文化古迹,4A景区,热度 0.,"121.253312,31.010527"
重庆·重庆·沙坪坝区,渣滓洞,1841403782,文化古迹,,热度 0.,"106.439082,29.59244"
西藏·林芝·工布江达县,巴松措,2028397044,文化古迹,4A景区,热度 0.,"93.869055,29.988577"
湖北·荆州·荆州区,张居正故居,2045206033,文化古迹,3A景区,热度 0.,"112.22179637404,30.352757978245"
北京·北京·门头沟区,京西古道,813941464,文化古迹,,热度 0.,"116.055224,39.973156"
贵州·安顺·西秀区,云峰景区,2771515449,文化古迹,,热度 0.,"106.095387,26.295115"
广东·广州·荔湾区,荔枝湾涌,2724753856,文化古迹,,热度 0.,"113.241527,23.125165"
安徽·六安·金安区,大别山石窟风景区,2028317538,文化古迹,4A景区,热度 0.,"116.560396,31.490213"
江西·上饶·婺源,晓起村,3824706552,文化古迹,,热度 0.,"118.037965,29.3975"
浙江·台州·台州天台山,龙穿峡,75479963,文化古迹,,热度 0.,"120.997599,29.270969"
江苏·无锡·崇安区,东林书院,2103664005,文化古迹,4A景区,热度 0.,"120.315031,31.582805"
江西·九江·庐山风景名胜区,庐山天桥,3785570933,文化古迹,,热度 0.,"115.97999078538,29.561851399735"
江苏·苏州·吴江市,圆通寺,4028393242,文化古迹,3A景区,热度 0.,"120.636887,31.151799"
山东·济南·历城区,九顶塔,2645585447,文化古迹,,热度 0.,"117.139435,36.428001"
江苏·苏州·吴江市,圆通寺,4028393242,文化古迹,3A景区,热度 0.,"120.636887,31.151799"
山东·济南·历城区,九顶塔,2645585447,文化古迹,,热度 0.,"117.139435,36.428001"
昆士兰·黄金海岸,SkyPoint星空塔观景台,2888519312,文化古迹,,热度 0.,"153.429841,-28.006224"
湖北·荆州·荆州区,荆州关羽祠,3469410752,文化古迹,3A景区,热度 0.,"112.19049,30.353897"
安徽·安庆·桐城市,孔城老街景区,4031645658,文化古迹,,热度 0.,"117.089091,31.037632"
安徽·宣城·绩溪县,仁里古村,313952015,文化古迹,,热度 0.,"118.383061,29.976176"
湖北·襄阳·南漳县,襄阳春秋寨景区,311187973,文化古迹,,热度 0.,"111.892137,31.380149"
江苏·苏州·太湖西山岛,罗汉寺,39303241,文化古迹,,热度 0.,"120.296257,31.106885"
江苏·苏州·太仓市,苏州沙溪古镇,514876265,文化古迹,,热度 0.,"121.063045,31.572383"
浙江·宁波·慈溪市,五磊山,3763940480,文化古迹,3A景区,热度 0.,"121.396522,30.088921"
广东·珠海·香洲区,东澳岛,250211386,文化古迹,,热度 0.,"113.719602,22.024888"
上海·上海·崇明县,寒山寺,881379058,文化古迹,,热度 0.,"121.40869627594,31.629401760118"
湖南·湘西·永顺县,老司城,3306510297,文化古迹,,热度 0.,"109.982944,28.999625"
新疆·喀什·喀什市,喀什艾提尕尔清真寺,4237638893,文化古迹,,热度 0.,"75.995029,39.479072"
山东·青岛·崂山,太清宫游览区,175325965,文化古迹,,热度 0.,"120.687436,36.144968"
山东·青岛·崂山,太清宫游览区,175325965,文化古迹,,热度 0.,"120.687436,36.144968"
浙江·绍兴·诸暨市,诸暨千柱屋景区,3816085757,文化古迹,3A景区,热度 0.,"120.457005,29.57566"
浙江·温州·永嘉县,芙蓉古村,2158164080,文化古迹,,热度 0.,"120.742089,28.336307"
福建·漳州·南靖县,塔下村,565605673,文化古迹,,热度 0.,"117.05899,24.623607"
陕西·西安·终南山古楼观,赵公明财神文化区,3739743186,文化古迹,,热度 0.,"108.349125,34.08034"
重庆·重庆·渝中区,中山四路,3245658314,文化古迹,,热度 0.,"106.553467,29.566817"
浙江·绍兴·大香林•兜率天景区,兜率天宫,4170614961,文化古迹,,热度 0.,"120.412215,30.030664"
内蒙古·阿拉善盟·阿拉善左旗,广宗寺,3066464268,文化古迹,4A景区,热度 0.,"105.8137,38.669605"
云南·红河·建水县,学政考棚,4000463868,文化古迹,,热度 0.,"102.832569,23.619362"
陕西·延安·宝塔区,杨家岭革命旧址,1454679020,文化古迹,3A景区,热度 0.,"109.473911,36.624323"
贵州·黔东南·施秉县,施秉云台山,1751863878,文化古迹,4A景区,热度 0.,"108.119931,27.109204"
北京·北京·明十三陵,昭陵,272446015,文化古迹,,热度 0.,"116.226232,40.294982"
河南·三门峡·灵宝市,汉山,1394483316,文化古迹,,热度 0.,"110.546752,34.478439"
陕西·安康·石泉县,汉江燕翔洞生态旅游景区,22249569,文化古迹,4A景区,热度 0.,"108.160561,32.800529"
贵州·安顺·平坝县,天龙景区,3562452571,文化古迹,,热度 0.,"106.169488,26.357418"
河北·保定·易县,太行水镇,3768974326,文化古迹,,热度 0.,"115.24968,39.293775"
浙江·绍兴·绍兴古城,绍兴秋瑾故居,2786254996,文化古迹,,热度 0.,"120.586235,29.993847"
河北·张家口·暖泉古镇,天下第一堡,129382916,文化古迹,,热度 0.,"114.458012,39.815419"
